Asset types,Subsidiaries,Versions,Depreciation,Month,Value
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jun,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jun,789555.61
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jun,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jun,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jun,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jun,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,75954.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,228339.27
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,47724.39
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,37078.47
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,291984.13
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,361498.6
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,132917.44
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,91875.48
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,218662.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jun,933355.77
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,78992.97
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,237472.84
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,49633.37
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,38561.61
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,303663.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,375958.54
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,138234.14
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,95550.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,227409.29
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jun,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Jul,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Jul,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Jul,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Jul,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,64731.42
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Jul,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Jul,789555.61
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Jul,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Jul,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Jul,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Jul,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,75954.77
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,228339.26
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,47724.39
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,37078.46
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,291984.12
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,361498.6
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,132917.43
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,91875.48
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,218662.77
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Jul,933355.76
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,78992.96
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,237472.83
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,49633.37
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,38561.6
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,303663.48
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,375958.54
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,138234.13
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,95550.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,227409.28
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Jul,970689.99
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Aug,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,71248.22
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,233797.74
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,147755.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Aug,910221.84
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,131901.71
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,213413.83
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,141441.74
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,66266.07
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,69254.38
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,273858.23
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,591959.01
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,136783.66
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,393218.81
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,235058.44
,GO Asia Pacific,Budget version 1,Depreciation on Existing Items,Aug,635566.96
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,123987.61
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,200609
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,132955.24
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,62290.11
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,65099.12
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,257426.74
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,556441.47
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,128576.64
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,369625.68
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,220954.93
,GO Asia Pacific,Budget version 2,Depreciation on Existing Items,Aug,597432.94
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,50257.86
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,64731.42
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,139933.82
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,62768.65
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,73492.23
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,295070.19
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,318661.11
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,"131,539.19"
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,281249.43
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,99169.6
,GO Central Europe,Budget version 1,Depreciation on Existing Items,Aug,789555.61
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,50257.86
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,64731.42
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,139933.82
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,65907.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,77166.84
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,295070.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,318661.11
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,131539.19
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,295311.9
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,104128.08
,GO Central Europe,Budget version 2,Depreciation on Existing Items,Aug,789555.61
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,241400.56
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,97600.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,125143.88
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,51353.75
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,74613.57
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,158584.85
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,432045.41
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,81151.52
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,195021.19
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,78075.62
,GO Northern Europe,Budget version 1,Depreciation on Existing Items,Aug,658887.42
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,226916.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,91744.18
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,117635.25
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,48272.53
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,70136.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,149069.76
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,406122.69
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,76282.43
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,183319.92
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,73391.08
,GO Northern Europe,Budget version 2,Depreciation on Existing Items,Aug,619354.17
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,225009.77
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,189351.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,310859.65
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,41986.69
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,57512.91
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,332239.9
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,183099.4
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,88073.18
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,130422.16
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,113665.96
,GO Southern Europe,Budget version 1,Depreciation on Existing Items,Aug,806864.85
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,220509.57
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,185564.37
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,304642.46
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,41146.96
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,56362.65
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,325595.1
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,179437.41
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,86311.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,127813.72
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,111392.64
,GO Southern Europe,Budget version 2,Depreciation on Existing Items,Aug,790727.55
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,158725.68
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,75954.78
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,228339.27
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,47724.38
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,37078.46
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,291984.13
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,361498.59
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,132917.44
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,91875.48
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,218662.77
,GO Accessories GmbH,Budget version 1,Depreciation on Existing Items,Aug,933355.77
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,165074.71
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,78992.97
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,237472.84
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,49633.36
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,38561.6
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,303663.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,375958.53
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,138234.14
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,95550.5
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,227409.28
,GO Accessories GmbH,Budget version 2,Depreciation on Existing Items,Aug,970690
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,240685.88
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,211280.33
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,278895.16
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,64461.71
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,72439.23
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,384042.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,630593.19
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,68838.86
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,225891.54
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,142759.31
,GO Americas,Budget version 1,Depreciation on Existing Items,Sep,879441.39
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,249109.89
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,218675.14
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,288656.49
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,66717.87
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,74974.6
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,397483.79
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,652663.95
,GO Americas,Budget version 2,Depreciation on Existing Items,Sep,71248.22
